"vars_manip_1","vars_manip_2","vars_manip","distrib","phage_disp","Cell_population","Cell2_population","relativecA","relativeI","cA","irate","relativeR","relativeChi","Chi","relativecR","cR","relativeY","Y","relativeb","b","Cell2_Cell1"
"b","Chi","b_vs_Chi","global","0",4.4701e+11,4.4701e+11,NA,NA,NA,NA,NA,1,315,NA,NA,NA,NA,1,30,1
"b","Chi","b_vs_Chi","global","0",7.9013e+10,7.9013e+10,NA,NA,NA,NA,NA,1,315,NA,NA,NA,NA,10,30,1
"b","Chi","b_vs_Chi","global","0",2.1093e+11,2.1093e+11,NA,NA,NA,NA,NA,1,315,NA,NA,NA,NA,3.1623,30,1
"b","Chi","b_vs_Chi","global","0",6.9185e+11,6.9185e+11,NA,NA,NA,NA,NA,1,315,NA,NA,NA,NA,0.31623,30,1
"b","Chi","b_vs_Chi","global","0",8.3707e+11,8.3232e+11,NA,NA,NA,NA,NA,0.18,315,NA,NA,NA,NA,0.1,30,0.994325444705939
"b","Chi","b_vs_Chi","global","0",4.4769e+11,4.4629e+11,NA,NA,NA,NA,NA,0.18,315,NA,NA,NA,NA,1,30,0.996872836114275
"b","Chi","b_vs_Chi","global","0",7.9055e+10,7.9008e+10,NA,NA,NA,NA,NA,0.18,315,NA,NA,NA,NA,10,30,0.999405477199418
"b","Chi","b_vs_Chi","global","0",2.1117e+11,2.1085e+11,NA,NA,NA,NA,NA,0.18,315,NA,NA,NA,NA,3.1623,30,0.998484633233887
"b","Chi","b_vs_Chi","global","0",6.9258e+11,6.8929e+11,NA,NA,NA,NA,NA,0.18,315,NA,NA,NA,NA,0.31623,30,0.995249646250253
"b","Chi","b_vs_Chi","global","0",8.3627e+11,8.4429e+11,NA,NA,NA,NA,NA,2.37,315,NA,NA,NA,NA,0.1,30,1.00959020412068
"b","Chi","b_vs_Chi","global","0",4.4587e+11,4.4822e+11,NA,NA,NA,NA,NA,2.37,315,NA,NA,NA,NA,1,30,1.00527059456792
"b","Chi","b_vs_Chi","global","0",7.8943e+10,7.9022e+10,NA,NA,NA,NA,NA,2.37,315,NA,NA,NA,NA,10,30,1.00100072203995
"b","Chi","b_vs_Chi","global","0",2.1053e+11,2.1107e+11,NA,NA,NA,NA,NA,2.37,315,NA,NA,NA,NA,3.1623,30,1.00256495511329
"b","Chi","b_vs_Chi","global","0",6.9064e+11,6.9616e+11,NA,NA,NA,NA,NA,2.37,315,NA,NA,NA,NA,0.31623,30,1.00799258658635
"b","cR","b_vs_cR","global","0",8.9439e+11,2.214e+09,NA,NA,NA,NA,NA,NA,NA,0.67,2.25e-14,NA,NA,0.1,30,0.00247543018146446
"b","cR","b_vs_cR","global","0",8.9323e+11,2150700000,NA,NA,NA,NA,NA,NA,NA,0.67,2.25e-14,NA,NA,1,30,0.00240777851169352
"b","cR","b_vs_cR","global","0",8.773e+11,2061600000,NA,NA,NA,NA,NA,NA,NA,0.67,2.25e-14,NA,NA,10,30,0.00234993730764847
"b","cR","b_vs_cR","global","0",8.8994e+11,2107800000,NA,NA,NA,NA,NA,NA,NA,0.67,2.25e-14,NA,NA,3.1623,30,0.00236847427916489
"b","cR","b_vs_cR","global","0",8.9412e+11,2.191e+09,NA,NA,NA,NA,NA,NA,NA,0.67,2.25e-14,NA,NA,0.31623,30,0.00245045407775243
"b","cR","b_vs_cR","global","0",8.3678e+11,8.3678e+11,NA,NA,NA,NA,NA,NA,NA,1,2.25e-14,NA,NA,0.1,30,1
"b","cR","b_vs_cR","global","0",4.4701e+11,4.4701e+11,NA,NA,NA,NA,NA,NA,NA,1,2.25e-14,NA,NA,1,30,1
"b","cR","b_vs_cR","global","0",7.9013e+10,7.9013e+10,NA,NA,NA,NA,NA,NA,NA,1,2.25e-14,NA,NA,10,30,1
"b","cR","b_vs_cR","global","0",2.1093e+11,2.1093e+11,NA,NA,NA,NA,NA,NA,NA,1,2.25e-14,NA,NA,3.1623,30,1
"b","cR","b_vs_cR","global","0",6.9185e+11,6.9185e+11,NA,NA,NA,NA,NA,NA,NA,1,2.25e-14,NA,NA,0.31623,30,1
"b","cR","b_vs_cR","global","0",1810300000,1.6403e+13,NA,NA,NA,NA,NA,NA,NA,1.5,2.25e-14,NA,NA,0.1,30,9060.92912776888
